Camada,Fonte,Licenca,Entrega
Nomenclatura,FMA (Foundational Model of Anatomy),livre,"ID estavel por estrutura anatomica; chave canonica para unir todas as demais fontes"
Nomenclatura,Terminologia Anatomica,referencia,"Nomenclatura oficial internacional; util para tabela de sinonimos"
Osso - geometria,BodyParts3D,CC BY-SA 2.1 JP (copyleft),"Malhas por estrutura, arquivos nomeados por FMA ID; um unico modelo masculino"
Osso - geometria,TotalSegmentator,"dataset CC BY 4.0, codigo Apache 2.0","1204 TCs com 104 estruturas; submodelo appendicular_bones cobre carpais, metacarpais e falanges (licenca separada)"
Osso - geometria,Z-Anatomy / Open 3D Model (LUMC),CC BY-SA 4.0 (copyleft),"BodyParts3D reorganizado, retopologizado e rotulado; Open 3D Model e a versao mais limpa"
Osso - mecanica,MyoSkeleton (MyoSuite),Apache 2.0,"152 DOF, coluna por nivel vertebral, mao articulada, patela articulada, 66 restricoes de acoplamento"
Osso - mecanica,AnyBody AMMR / TLEM 2.0,comercial (academica gratuita),"Modelo mais denso disponivel; derivado do dataset cadaverico Klein Horsman"
Osso - inercia,de Leva 1996 / Dumas 2007,artigo,"Tabelas de regressao de massa e momento de inercia por segmento, escalonadas por massa e estatura"
Musculo - linha de acao,Modelos regionais OpenSim,permissiva,"MoBL-ARMS/Holzbaur (braco+mao), Constrained Lumbar Spine, Wrist Model, Neck Model; o detalhe esta aqui, nao no full-body"
Musculo - linha de acao,MyoSuite (portes MuJoCo),Apache 2.0,"MyoTorso 210 atuadores/18 DOF; MyoArm 27 DOF/63 unidades; MyoHand 29 ossos/23 juntas/39 unidades"
Musculo - parametros Hill,Ward et al. 2009,artigo,"Arquitetura do membro inferior em 21 cadaveres: PCSA, comprimento de fasciculo, pennacao; base do gait2392 e Rajagopal"
Musculo - parametros Hill,Handsfield et al. 2014,artigo,"Volumes musculares por RM em vivos, escalonaveis por massa e estatura"
Musculo - parametros Hill,Lieber & Jacobson,artigo,"Arquitetura de membro superior e mao; nao existe compilacao unica, extrair tabela do artigo"
Musculo - volume,TotalSegmentator tissue_types,licenca separada (gratuita nao comercial),"Segmentacao de skeletal_muscle; volume apenas, sem direcao de fibra nem parametro mecanico"
Musculo - volume,Visible Human Project (NLM),uso livre mediante registro,"Criosecao colorida em resolucao que nenhuma TC alcanca; base historica de quase tudo"
Tendao e ligamento,Open Knee(s) (SimTK),aberta,"Joelho completo com ligamentos, geometria e propriedades mecanicas; cobre somente o joelho"
Tendao e ligamento,Literatura regional,artigos,"Ombro, tornozelo, punho modelo a modelo; NAO existe fonte de corpo inteiro - compilacao manual"
Gordura e fascia,TotalSegmentator tissue_types,licenca separada (gratuita nao comercial),"subcutaneous_fat e torso_fat segmentados; sem parametro mecanico"
Gordura e fascia,IT'IS Virtual Population,academica gratuita / comercial paga,"Modelos Duke, Ella, Billie, Thelonious; centenas de tecidos COM propriedades fisicas tabeladas"
Orgaos,TotalSegmentator,"dataset CC BY 4.0, codigo Apache 2.0","Mais de 100 classes anatomicas; o mais completo aberto disponivel hoje"
Orgaos,IT'IS Virtual Population,academica gratuita / comercial paga,"Geometria acompanhada de propriedades de tecido; feito para dosimetria eletromagnetica"
Pele - superficie,SMPL-X,pesquisa gratuita / comercial separada,"Corpo parametrico com mao e face; base da maior parte da literatura de avatar"
Pele - superficie,Open 3D Model (LUMC/Utrecht),CC BY-SA 4.0 (copyleft),"Superficie anatomica remalhada e casada com as estruturas internas"
Pele - textura,3D Scan Store / Texturing.xyz,comercial,"Microgeometria e textura de pele; nao ha equivalente aberto de qualidade"
Pelos,USC-HairSalon,NAO COMERCIAL apenas,"343 penteados em strands; base de praticamente toda a area"
Pelos,CT2Hair (Meta / facebookresearch),ver repositorio,"10 perucas reais escaneadas por TC: modelos de cabeca, pontos de couro cabeludo e volumes VDB"
Pelos,Hair20k / PERM,NAO COMERCIAL (herda USC-HairSalon),"21.054 penteados por aumentacao do USC-HairSalon; ~10.000 fios por modelo"
Marcha - modelo base,BidirectionalGaitNet (upstream do fork),SEM LICENCA EXPLICITA,"23 corpos, 56 DOF, 304 unidades Hill; sem licenca o padrao e todos os direitos reservados"
